type,dataset,ortho_files,shapes_file,channels,centroid_x,centroid_y,threshold,pixels,gid,pixels_after_threshold,altezza_mean,altezza_median,altezza_std,altezza_max,altezza_min,summation
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570286.3652376528,4974942.885121079,,42436,206,42436,126.01324347252331,126.0103988647461,0.0163943482440547,126.079124,125.97722,5347498.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570285.2189503518,4974940.186000953,,42466,227,42466,126.01450572222484,126.01258850097656,0.0135914491035303,126.08691,125.98387,5351332.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570283.5300704761,4974936.184660689,,42449,230,42449,126.04553699733798,126.04379272460938,0.0166745073475325,126.13286,126.00872,5350507.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570282.3823000136,4974933.486371268,,42578,251,42578,126.05445300389871,126.05391693115234,0.0094092227573692,126.09165,126.02101,5367146.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570281.2307649041,4974930.792481365,,42556,254,42556,126.06506720556445,126.06420135498048,0.0095734902054912,126.113335,126.03267,5364825.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570304.5144304774,4974989.292651671,,42468,10,42468,125.75500376754262,125.75292205810548,0.0148359425214456,125.81081,125.71278,5340563.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570303.3680059486,4974986.597014861,,42655,15,42655,125.78790294221076,125.78692626953124,0.0137626938238461,125.839355,125.748795,5365483.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570302.2215804206,4974983.901378277,,42465,34,42465,125.81595431531848,125.81565856933594,0.0123641755178508,125.85726,125.77823,5342774.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570301.0736757307,4974981.206566376,,42777,39,42777,125.83826589054866,125.83771514892578,0.0115143855185024,125.88617,125.80292,5382983.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570299.9223152061,4974978.509188999,,42579,58,42579,125.86047112426311,125.86206817626952,0.0114230539206392,125.900375,125.81827,5359013.0
